trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,polygon.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,key_reso.corr,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,0.5151263000002473,15.459358399999928,16.03960559999996,16.03960559999996,16.342088200000035,0,0,,,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,up,0.01,db,0.05005759777690845,0.001271699999961129,17.322668599999815,18.34199949999993,18.34199949999993,18.64199899999994,0,0,0,18.325579599999855,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,up,0.01,db,0.050115261903894995,0.0012598999996953353,19.8557566999998,20.875434499999756,20.875434499999756,,1,1,0,20.858522399999856,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,down,0.01,db,0.05005759777690845,0.001237800000126299,22.138874700000088,23.158753100000013,23.158753100000013,23.45858599999974,0,0,1,23.14195040000004,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,up,0.005,db,0.050086421541866995,0.001438899999811838,24.474369600000045,25.492284599999948,25.492284599999948,25.791991799999778,1,1,0,25.475350799999887,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,up,0.005,db,0.050086421541866995,0.0012980000001334702,26.889228999999887,27.90879959999984,27.90879959999984,28.208820099999684,1,1,,27.892004099999667,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,up,0.005,db,0.050086421541866995,0.00143900000011854,32.54015419999996,33.559382299999925,33.559382299999925,33.85913769999979,0,0,,33.542182899999716,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,up,0.005,db,0.05011526190389498,0.001252900000054069,34.97332800000004,35.99238689999993,35.99238689999993,36.292240299999776,0,0,0,35.975631899999826,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,up,0.005,db,0.0501441188725492,0.0014922000000296975,37.472234599999865,38.49246919999996,38.49246919999996,38.7924095999997,0,0,0,38.4761282999998,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,up,0.005,db,0.05017299245739195,0.0014326000000437489,42.34128049999981,43.35955299999978,43.35955299999978,43.65931759999967,1,1,,43.342521600000055,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,up,0.005,db,0.05017299245739195,0.00144079999972746,44.7565811999998,45.77649539999993,45.77649539999993,,1,1,1,45.75939990000006,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,up,0.005,db,0.05017299245739195,0.0015109000000848027,47.04101119999996,48.05928039999981,48.05928039999981,,0,0,1,48.042281900000035,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,up,0.005,db,0.05020188266799103,0.0014371000002029177,49.30763829999978,50.32628539999996,50.32628539999996,,0,0,,50.309283199999754,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,up,0.005,db,0.050230789513919745,0.0005638000002363697,51.53736939999999,52.54286499999989,52.54286499999989,52.842513600000075,0,0,0,52.54286499999989,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,up,0.005,db,0.05025971300475692,0.0012566999998853134,53.9058700999999,54.92641249999997,54.92641249999997,55.22602280000001,1,1,,54.90920099999994,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,16,15,up,0.005,db,0.05025971300475692,0.0012820000001738663,56.207309299999906,57.226314399999865,57.226314399999865,57.526275799999894,1,1,1,57.20945260000008,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,17,16,up,0.005,db,0.05025971300475692,0.0012828000003537454,58.8892751999997,59.909549999999854,59.909549999999854,60.20962449999979,0,0,,59.89287519999971,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,18,17,up,0.005,db,0.0502886531500869,0.0013129999997545383,61.290441199999805,62.309623499999816,62.309623499999816,62.60947869999973,1,1,0,62.29295430000002,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,19,18,up,0.005,db,0.0502886531500869,0.0015271000002030632,63.59116809999978,64.61009879999983,64.61009879999983,,1,1,,64.59298510000008,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,up,0.005,db,0.0502886531500869,0.0014429999996536935,65.65855909999982,66.67642479999995,66.67642479999995,,1,1,1,66.6595543999997,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,down,0.005,db,0.05025971300475692,0.0012682999999924505,67.68984339999997,68.71016060000011,68.71016060000011,,1,1,1,68.69302319999997,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,down,0.005,db,0.05025971300475692,0.0015895999999884225,69.9085554999997,70.92660429999978,70.92660429999978,,1,1,,70.9098482999998,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,down,0.005,db,0.05025971300475692,0.001443599999674916,72.02368299999989,73.0433339000001,73.0433339000001,73.34315639999977,1,1,,73.02627570000004,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,down,0.005,db,0.050230789513919745,0.0014575000000149885,83.92389129999992,84.94335999999976,84.94335999999976,85.2431173,0,0,,84.92676699999993,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,up,0.005,db,0.05025971300475692,0.0015149999999266583,87.6234701999997,88.64335089999986,88.64335089999986,88.94350739999982,1,1,0,88.6266456999997,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,up,0.005,db,0.05025971300475692,0.0015327999999499298,93.75882569999976,94.77703659999997,94.77703659999997,95.07693620000009,1,1,,94.760178,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,up,0.005,db,0.05025971300475692,0.0016418000000157917,104.52524989999984,105.54397449999988,105.54397449999988,105.84393640000008,0,0,,105.52717350000012,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,up,0.005,db,0.0502886531500869,0.001548700000057579,111.5755624999997,112.5944086999998,112.5944086999998,112.89413220000006,1,1,0,112.5772807999997,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,up,0.005,db,0.0502886531500869,0.0012673999999606167,114.64034829999991,115.66096489999973,115.66096489999973,115.9605346999997,1,1,1,115.64365580000003,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,up,0.005,db,0.0502886531500869,0.0012861000000157219,117.42359390000001,118.44418779999978,118.44418779999978,118.74412759999996,0,0,,118.42721369999981,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,up,0.005,db,0.05031760995949953,0.0014622999997300212,120.09182129999999,121.11134080000011,121.11134080000011,121.41087870000001,0,0,,121.09413649999988,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,up,0.005,db,0.050346583442590194,0.0012331000002632209,122.6083752999998,123.62770189999992,123.62770189999992,123.92764129999978,1,1,,123.61106849999987,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,up,0.005,db,0.050346583442590194,0.0014925000000403088,125.19208939999999,126.2109889999997,126.2109889999997,126.51099859999977,0,0,1,126.1941981,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,0.005,db,0.05037557360895979,0.0014661999998679676,127.72447139999986,128.7448188999997,128.7448188999997,129.04432689999976,1,1,0,128.72770839999976,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.005,db,0.05037557360895979,0.0014636000000791682,130.25812909999968,131.27804340000012,131.27804340000012,131.57799939999995,0,0,1,131.26103029999967,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.005,db,0.05040458046821476,0.001298799999858602,133.0411525999998,134.06112499999972,134.06112499999972,134.3610918999998,1,1,0,134.0444709999997,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,0.005,db,0.05040458046821476,0.0007454000001416716,135.5549264000001,136.57825719999983,136.57825719999983,136.87774549999995,0,0,1,136.56097169999975,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,up,0.005,db,0.050433604029967063,0.0015132999997149454,138.05921779999971,139.07785539999986,139.07785539999986,139.3778714,0,0,,139.06107819999988,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,up,0.005,db,0.050462644303834195,0.0014375999999174383,140.44276050000008,141.4613107,141.4613107,141.7611750000001,1,1,,141.44445159999987,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,up,0.005,db,0.050462644303834195,0.0012848000001213222,142.7751586999998,143.7948038999998,143.7948038999998,144.0948742999999,0,0,1,143.77795930000002,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,up,0.005,db,0.050491701299439196,0.0012481000003390363,145.59118949999993,146.61141229999976,146.61141229999976,146.91132519999974,1,1,,146.59473909999997,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,0.005,db,0.050491701299439196,0.0014847000002191635,148.04247369999985,149.0614999999998,149.0614999999998,149.3614192,0,0,1,149.0445983999998,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,0.005,db,0.05052077502641064,0.0015045000000100117,150.52654159999975,151.54469870000003,151.54469870000003,151.84503349999977,0,0,0,151.52788529999998,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,up,0.005,db,0.05054986549438265,0.0012710000000879518,152.89191260000007,153.91148410000005,153.91148410000005,154.21159850000004,1,1,0,153.89441069999975,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,up,0.005,db,0.05054986549438265,0.0012965999999323685,155.42499879999968,156.44536169999992,156.44536169999992,156.74495339999976,1,1,,156.42775149999989,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,up,0.005,db,0.05054986549438265,0.0015863999997236533,158.19227739999997,159.2119385000001,159.2119385000001,159.51160419999997,1,1,,159.19506159999992,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,down,0.005,db,0.05052077502641064,0.001320800000030431,160.65938779999988,161.67848219999996,161.67848219999996,161.97851050000008,0,0,1,161.6615922000001,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,up,0.005,db,0.05054986549438265,0.0014880999997330946,163.04364369999985,164.0620739000001,164.0620739000001,,0,0,0,164.04519429999982,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,up,0.005,db,0.0505789727129949,0.0012836999999308318,165.27611989999969,166.29511809999985,166.29511809999985,166.59531919999972,1,1,,166.27810359999967,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
